"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","06-Feb-2019","       1981.40","       1983.60","       1994.90","       1975.50","       1990.00","       1987.95","       1988.96","    2036890","          4051295620.55","     109932","    1487989","         73.05"
"HDFC","EQ","07-Feb-2019","       1987.95","       1990.05","       1991.95","       1962.55","       1965.50","       1969.65","       1976.27","    2722458","          5380318027.50","     117658","    1821245","         66.90"
"HDFC","EQ","08-Feb-2019","       1969.65","       1963.10","       1968.60","       1936.85","       1939.60","       1944.65","       1956.33","    2187808","          4280070128.75","      99624","    1553284","         71.00"
"HDFC","EQ","11-Feb-2019","       1944.65","       1943.90","       1959.00","       1935.60","       1951.25","       1948.20","       1947.12","    2209258","          4301682174.90","      87814","    1585172","         71.75"
"HDFC","EQ","12-Feb-2019","       1948.20","       1950.00","       1956.40","       1901.15","       1904.50","       1905.05","       1924.17","    2642567","          5084754718.05","     142801","    1960215","         74.18"
"HDFC","EQ","13-Feb-2019","       1905.05","       1907.10","       1943.00","       1907.10","       1920.75","       1930.50","       1928.38","    3710809","          7155838347.95","     171878","    2537071","         68.37"
"HDFC","EQ","14-Feb-2019","       1930.50","       1921.00","       1929.25","       1893.85","       1905.45","       1900.70","       1910.35","    2511047","          4796984459.40","     187582","    1668169","         66.43"
"HDFC","EQ","15-Feb-2019","       1900.70","       1900.60","       1900.60","       1856.50","       1877.25","       1874.90","       1872.23","    2647706","          4957113367.10","     145607","    1824317","         68.90"
"HDFC","EQ","18-Feb-2019","       1874.90","       1877.30","       1893.00","       1864.05","       1873.80","       1874.85","       1874.84","    2768637","          5190747351.10","     140482","    1901040","         68.66"
"HDFC","EQ","19-Feb-2019","       1874.85","       1870.00","       1888.50","       1844.25","       1849.25","       1853.45","       1869.81","    2988645","          5588209009.45","      89942","    1782993","         59.66"
"HDFC","EQ","20-Feb-2019","       1853.45","       1865.00","       1874.95","       1858.00","       1869.00","       1870.50","       1866.82","    2645051","          4937838286.25","     150078","    1955716","         73.94"
"HDFC","EQ","21-Feb-2019","       1870.50","       1871.00","       1894.70","       1865.10","       1890.45","       1891.45","       1881.67","    1578842","          2970857306.60","      96909","    1013242","         64.18"
"HDFC","EQ","22-Feb-2019","       1891.45","       1893.95","       1899.00","       1877.50","       1887.00","       1887.40","       1888.58","    2461406","          4648555602.75","     133440","    1682352","         68.35"
"HDFC","EQ","25-Feb-2019","       1887.40","       1897.90","       1897.90","       1871.50","       1896.90","       1894.50","       1886.54","    2049742","          3866926670.45","     114319","    1376454","         67.15"
"HDFC","EQ","26-Feb-2019","       1894.50","       1874.00","       1894.65","       1850.00","       1856.00","       1853.65","       1865.27","    3756159","          7006260639.80","     140566","    2555870","         68.04"
"HDFC","EQ","27-Feb-2019","       1853.65","       1868.00","       1870.00","       1820.00","       1840.50","       1841.00","       1845.85","    3412510","          6298982507.45","     183158","    2141106","         62.74"
"HDFC","EQ","28-Feb-2019","       1841.00","       1849.00","       1853.65","       1834.60","       1841.80","       1841.20","       1841.82","    5693899","         10487153608.15","     140502","    4338656","         76.20"
"HDFC","EQ","01-Mar-2019","       1841.20","       1850.40","       1863.40","       1838.30","       1859.80","       1859.45","       1851.62","    2679223","          4960916150.20","      90888","    1919501","         71.64"
"HDFC","EQ","05-Mar-2019","       1859.45","       1856.80","       1868.40","       1838.55","       1860.05","       1860.00","       1857.20","    2256049","          4189932513.45","     160247","    1498401","         66.42"
"HDFC","EQ","06-Mar-2019","       1860.00","       1864.70","       1889.50","       1858.80","       1886.00","       1885.20","       1873.84","    1828916","          3427100188.60","      86594","    1151404","         62.96"
"HDFC","EQ","07-Mar-2019","       1885.20","       1892.00","       1892.00","       1865.20","       1879.00","       1880.20","       1878.90","    2171462","          4079968475.05","      96426","    1403671","         64.64"
"HDFC","EQ","08-Mar-2019","       1880.20","       1879.00","       1888.00","       1871.10","       1886.30","       1884.05","       1879.97","    1845737","          3469935055.10","     134127","    1271944","         68.91"
"HDFC","EQ","11-Mar-2019","       1884.05","       1886.35","       1903.80","       1884.00","       1902.80","       1897.55","       1895.34","    3170249","          6008696916.40","      96873","    2291324","         72.28"
"HDFC","EQ","12-Mar-2019","       1897.55","       1914.90","       1936.65","       1900.10","       1926.25","       1930.00","       1915.08","    3692761","          7071933067.10","     150711","    2506439","         67.87"
"HDFC","EQ","13-Mar-2019","       1930.00","       1939.00","       1964.40","       1923.40","       1948.20","       1950.65","       1946.93","    3570861","          6952210502.45","     162285","    2232272","         62.51"
"HDFC","EQ","14-Mar-2019","       1950.65","       1971.80","       1975.10","       1949.30","       1961.10","       1956.95","       1959.13","    3985679","          7808476438.80","     117151","    2819047","         70.73"
"HDFC","EQ","15-Mar-2019","       1956.95","       1960.00","       1991.70","       1955.90","       1976.80","       1974.65","       1972.90","    5984639","         11807065600.75","     124258","    4719692","         78.86"
"HDFC","EQ","18-Mar-2019","       1974.65","       1982.00","       1994.95","       1953.10","       1967.00","       1962.40","       1968.65","    2563905","          5047427391.65","     119652","    1673533","         65.27"
"HDFC","EQ","19-Mar-2019","       1962.40","       1972.90","       1978.55","       1962.10","       1967.00","       1967.85","       1968.78","    2827631","          5566984360.40","     145386","    2159247","         76.36"
